rank,cik,name,tags,score,rev_cur_M,rev_yoy_pct,op_cur_M,op_prev_M,margin_delta_pp
1,723125,"Micron Technology, Inc.",S1+S3,0.991,41456.0,345.7,33318.0,2169.0,57.0
2,1356090,"PRECIGEN, INC.",S2,0.984,55.0,6322.7,22.6,-31.8,3751.9
3,1735438,MeiraGTx Holdings plc,S2,0.979,321.4,8608.6,244.4,-44.8,1289.6
4,1706431,"Vir Biotechnology, Inc.",S2,0.978,238.9,19582.5,73.5,-118.4,9785.0
5,1377121,"PROTAGONIST THERAPEUTICS, INC.",S2,0.978,213.5,3749.2,158.8,-42.0,832.4
6,1655759,"ARVINAS, INC.",S2,0.973,249.7,1014.7,164.1,-71.5,384.9
7,1819576,LIQUIDIA     CORPORATION,S2,0.966,171.7,1842.7,85.5,-37.5,474.2
8,1596993,DORIAN LPG LTD.,S1+S3,0.966,187.9,123.1,142.7,15.6,57.4
9,1590877,REGENXBIO Inc.,S2,0.966,108.0,405.7,29.3,-63.3,323.3
10,1679049,"INTERNATIONAL SEAWAYS, INC.",S1+S3,0.952,467.3,138.8,301.3,69.4,29.0
11,893538,SM ENERGY CO,S1+S3,0.944,2500.0,215.3,1496.0,295.0,22.6
12,1141197,PEDEVCO CORP.,S2,0.928,46.1,561.4,15.4,-2.2,65.5
13,1051627,AXT INC,S2,0.91,47.6,164.8,10.4,-6.7,59.4
14,2074176,"Viper Energy, Inc.",S1+S3,0.908,658.0,129.3,428.0,135.0,18.0
15,1959455,Himalaya Shipping Ltd.,S1+S3,0.903,53.7,79.6,36.7,13.6,22.9
16,1070081,"PTC Therapeutics, Inc.",S2,0.901,360.5,101.5,149.0,-35.0,60.9
17,718937,STAAR Surgical Co,S2,0.9,93.5,111.0,10.1,-30.0,78.4
18,1673743,"Hinge Health, Inc.",S2,0.892,212.8,53.0,40.4,-580.7,436.5
19,1434647,"Zevra Therapeutics, Inc.",S2,0.89,39.7,53.3,16.8,-71.0,316.8
20,1486159,Chord Energy Corporation,S2,0.887,2172.7,84.0,602.7,-403.2,61.9
21,1337298,FUTUREFUEL CORP.,S2,0.886,78.7,120.7,11.3,-15.6,57.9
22,1321655,Palantir Technologies Inc.,S1+S3,0.883,1935.5,92.8,912.0,269.3,20.3
23,1001614,"Riley Exploration Permian, Inc.",S1+S3,0.88,165.8,94.2,87.2,28.8,18.9
24,1559432,"TXO Partners, L.P.",S2,0.876,134.4,79.1,57.7,-3.7,47.8
25,1710340,"Eton Pharmaceuticals, Inc.",S2,0.875,37.6,98.6,12.8,-1.5,41.8
26,1866175,Crescent Energy Company,S1+S3,0.87,1395.0,55.3,581.0,79.6,32.8
27,1724965,Talos Energy Inc.,S2,0.869,664.8,56.5,198.2,-273.6,94.2
28,1217234,"CAREDX, INC.",S2,0.862,131.9,52.2,113.2,-11.1,98.6
29,97210,"TERADYNE, INC.",S1+S3,0.861,1329.0,103.9,437.8,90.7,19.0
30,1876042,"CIRCLE INTERNET GROUP, INC.",S2,0.859,33.6,41.1,34.4,-325.6,1470.1
31,1658566,PERMIAN RESOURCES CORPORATION,S1+S3,0.853,1858.0,55.1,928.2,297.5,25.1
32,1818643,"PHOENIX ENERGY ONE, LLC",S1+S3,0.852,405.9,147.7,163.5,46.7,11.8
33,2029118,"INFINITY NATURAL RESOURCES, INC.",S1+S3,0.845,170.4,135.1,70.5,21.7,11.5
34,1451809,SiTime Corporation,S2,0.831,157.4,126.5,8.2,-24.6,40.6
35,56978,"KULICKE AND SOFFA INDUSTRIES, INC.",S2,0.823,330.4,122.6,68.3,-6.1,24.8
36,1299969,"Comstock Holding Companies, Inc.",S1+S3,0.804,22.6,74.1,6.6,1.8,15.7
37,934549,Acacia Research Corporation,S2,0.803,114.6,123.6,8.5,-12.4,31.6
38,1850351,"Liftoff Mobile, Inc.",S1+S3,0.8,219.5,35.4,77.4,0.0,35.2
39,1098972,AGENUS INC,S2,0.796,34.5,34.4,11.3,-16.7,97.8
40,1787306,"ARCUTIS BIOTHERAPEUTICS, INC.",S2,0.795,129.9,59.3,16.4,-14.6,30.6
41,719413,HECLA MINING COMPANY,S1+S3,0.792,333.9,52.4,145.7,58.0,17.2
42,1656472,CRONOS GROUP INC.,S2,0.792,53.0,58.4,7.4,-5.3,29.9
43,1698990,Magnolia Oil & Gas Corp,S1+S3,0.786,478.8,50.1,239.5,107.8,16.2
44,1795586,"Chime Financial, Inc.",S2,0.781,669.8,26.8,21.3,-930.6,179.4
45,1786117,"ALPINE INCOME PROPERTY TRUST, INC.",S1+S3,0.779,20.0,34.6,8.7,2.5,26.8
46,717423,MURPHY OIL CORPORATION,S1+S3,0.776,926.3,35.6,354.7,92.2,24.8
47,1664703,BLOOM ENERGY CORPORATION,S2,0.775,1060.7,167.7,182.2,-3.5,18.1
48,882796,"BIOCRYST PHARMACEUTICALS, INC.",S1+S3,0.775,218.2,33.6,98.5,29.8,26.9
49,1713445,"Reddit, Inc.",S1+S3,0.774,804.9,61.1,231.7,67.7,15.2
50,1293818,CAPFORCE INC.,S1,0.77,50.0,1150.0,44.3,3.4,3.5
